User,Group,Language Group,Individual,Task,Media Condition,Trial,Order in Total,Gender,User Spoken Language,0.0(threshold)_UnitMotion_time (second),0.05_(threshold)_UnitMotion_time (second),0.1_(threshold)_UnitMotion_time (second),percenatge of 0.1 th gesture usage time,0.15_(threshold)_UnitMotion_time (second),percenatge of 0.15 th gesture usage time,0.2_(threshold)_UnitMotion_time (second),percenatge of 0.2 th gesture usage time,0.25_(threshold)_UnitMotion_time (second),percenatge of 0.25 th gesture usage time,0.3_(threshold)_UnitMotion_time (second),percenatge of 0.3 th gesture usage time,0.35_(threshold)_UnitMotion_time (second),percenatge of 0.35 th gesture usage time,0.4_(threshold)_UnitMotion_time (second),percenatge of 0.4 th gesture usage time,0.45_(threshold)_UnitMotion_time (second),0.5_(threshold)_UnitMotion_time (second),0.1_threshold_UnitMotion_averageTime,0.15_threshold_UnitMotion_averageTime,0.2_threshold_UnitMotion_averageTime,0.25_threshold_UnitMotion_averageTime,0.3_threshold_UnitMotion_averageTime,0.35_threshold_UnitMotion_averageTime,0.4_threshold_UnitMotion_averageTime
8B,8,E-L1 vs E-L2,U2,wing,A,3,17,M,Non-Native,604.568,296.61,257.555,0.429258333,180.467,0.300778333,330.993,0.551655,91.631,0.152718333,71.512,0.119186667,0,0,0,0,0,0,0.894288194,1.860484536,41.374125,45.8155,71.512,0,0
9A,9,E-L1 vs E-L2,U1,eye,V,1,3,F,Native,604.624,323.773,232.984,0.388306667,343.015,0.571691667,192.84,0.3214,173.185,0.288641667,289.305,0.482175,258.346,0.430576667,0,0,0,0,1.532789474,5.813813559,7.416923077,12.37035714,57.861,129.173,0
9B,9,E-L1 vs E-L2,U2,eye,V,1,3,M,Non-Native,603.867,249.825,295.993,0.493321667,194.278,0.323796667,350.455,0.584091667,294.028,0.490046667,362.03,0.603383333,129.251,0.215418333,0.136,0.000226667,0.136,0,2.690845455,4.317288889,16.68833333,26.72981818,72.406,43.08366667,0.068
9A,9,E-L1 vs E-L2,U1,wing,F,2,3,F,Native,604.596,294.003,212.831,0.354718333,311.34,0.5189,175.729,0.292881667,161.272,0.268786667,277.389,0.462315,41.246,0.068743333,29.301,0.048835,29.301,0.07,1.788495798,6.2268,7.987681818,11.51942857,34.673625,10.3115,14.6505
9B,9,E-L1 vs E-L2,U2,wing,F,2,3,M,Non-Native,604.569,201.3,302.71,0.504516667,321.6,0.536,366.56,0.610933333,221.73,0.36955,48.85,0.081416667,0,0,0,0,0,0,3.088877551,10.72,28.19692308,73.91,48.85,0,0
9A,9,E-L1 vs E-L2,U1,thumb,A,3,3,F,Native,604.626,301.791,258.482,0.430803333,252.347,0.420578333,80.285,0.133808333,80.285,0.133808333,76.402,0.127336667,116.686,0.194476667,0,0,0,0,3.493,14.84394118,20.07125,20.07125,38.201,116.686,0
9B,9,E-L1 vs E-L2,U2,thumb,A,3,3,M,Non-Native,604.637,228.234,235.774,0.392956667,286.17,0.47695,229.648,0.382746667,282,0.47,16.32,0.0272,0,0,0,0,0,0,1.660380282,7.734324324,20.87709091,94,16.32,0,0
10A,10,E-L1 vs E-L2,U1,eye,V,1,7,M,Native,604.074,257.554,186.514,0.310856667,173.431,0.289051667,165.735,0.276225,113.16,0.1886,138.201,0.230335,209.093,0.348488333,83.911,0.139851667,180.488,157.497,0.832651786,1.265919708,1.60907767,1.488947368,2.512745455,5.974085714,4.416368421
10B,10,E-L1 vs E-L2,U2,eye,V,1,7,F,Non-Native,604.599,274.699,181.464,0.30244,270.165,0.450275,260.766,0.43461,509.205,0.848675,68.034,0.11339,0,0,0,0,0,0,1.048924855,2.874095745,6.208714286,33.947,17.0085,0,0
10A,10,E-L1 vs E-L2,U1,wing,A,2,7,M,Native,603.59,246.357,387.494,0.645823333,318.426,0.53071,212.757,0.354595,91.432,0.152386667,56.328,0.09388,122.558,0.204263333,0,0,0,0,3.369513043,6.123576923,7.879888889,7.033230769,14.082,122.558,0
