User,Group,Language Group,Individual,Task,Media Condition,Trial,Order in Total,Gender,User Spoken Language,0.0_unitmotion_counts (Threshold = 0.0),0.05_unitmotion_counts (Threshold = 0.05),0.1_unitmotion_counts (Threshold = 0.1),0.15_unitmotion_counts (Threshold = 0.15),0.2_unitmotion_counts (Threshold = 0.2),0.25_unitmotion_counts (Threshold = 0.25),0.3_unitmotion_counts (Threshold = 0.3),0.35_unitmotion_counts (Threshold = 0.35),0.4_unitmotion_counts (Threshold = 0.4),0.45_unitmotion_counts (Threshold = 0.45),0.5_unitmotion_counts (Threshold = 0.5)
44A,44,E-L2 vs E-L2,U1,wing,A,3,3,M,Non-Native,1,611,101,28,17,9,6,3,2,1,0
44B,44,E-L2 vs E-L2,U2,wing,A,3,3,M,Non-Native,1,679,245,116,55,30,10,2,1,0,0
45A,45,E-L2 vs E-L2,U1,eye,V,1,1,M,Non-Native,1,1117,407,168,79,36,23,14,6,1,0
45B,45,E-L2 vs E-L2,U2,eye,V,1,1,M,Non-Native,1,391,121,57,35,23,12,6,2,1,0
45A,45,E-L2 vs E-L2,U1,wing,F,2,1,M,Non-Native,1,890,336,120,57,25,13,7,3,1,0
45B,45,E-L2 vs E-L2,U2,wing,F,2,1,M,Non-Native,1,546,164,66,33,22,11,4,1,0,0
45A,45,E-L2 vs E-L2,U1,thumb,A,3,1,M,Non-Native,1,999,367,173,98,53,25,12,6,1,1
45B,45,E-L2 vs E-L2,U2,thumb,A,3,1,M,Non-Native,1,433,130,49,22,8,2,1,0,0,0
46A,46,E-L2 vs E-L2,U1,eye,V,1,17,F,Non-Native,1,638,216,102,51,22,11,3,1,0,0
46B,46,E-L2 vs E-L2,U2,eye,V,1,17,F,Non-Native,1,1057,439,203,120,70,35,21,13,8,6
46A,46,E-L2 vs E-L2,U1,wing,A,2,17,F,Non-Native,1,493,98,28,9,3,0,0,0,0,0
46B,46,E-L2 vs E-L2,U2,wing,A,2,17,F,Non-Native,1,1008,318,129,56,26,7,2,0,0,0
46A,46,E-L2 vs E-L2,U1,thumb,F,3,17,F,Non-Native,1,665,227,88,45,20,10,3,1,0,0
46B,46,E-L2 vs E-L2,U2,thumb,F,3,17,F,Non-Native,1,1055,610,243,78,31,8,3,1,1,0
47A,47,E-L2 vs E-L2,U1,wing,V,1,16,M,Non-Native,1,609,184,70,26,13,6,4,2,2,1
47B,47,E-L2 vs E-L2,U2,wing,V,1,16,F,Non-Native,1,444,116,48,25,12,4,1,0,0,0
47A,47,E-L2 vs E-L2,U1,thumb,A,2,16,M,Non-Native,1,500,221,111,41,17,6,2,0,0,0
47B,47,E-L2 vs E-L2,U2,thumb,A,2,16,F,Non-Native,1,580,187,77,35,17,7,4,3,1,1
47A,47,E-L2 vs E-L2,U1,eye,F,3,16,M,Non-Native,1,761,155,45,15,9,4,3,0,0,0
47B,47,E-L2 vs E-L2,U2,eye,F,3,16,F,Non-Native,1,474,198,87,47,26,11,3,1,0,0
48A,48,E-L2 vs E-L2,U1,thumb,V,1,15,F,Non-Native,1,626,228,117,66,33,11,6,3,0,0
48B,48,E-L2 vs E-L2,U2,thumb,V,1,15,F,Non-Native,1,607,224,104,57,34,19,13,9,8,5
48A,48,E-L2 vs E-L2,U1,eye,A,2,15,F,Non-Native,1,425,150,77,40,21,10,5,1,0,0
48B,48,E-L2 vs E-L2,U2,eye,A,2,15,F,Non-Native,1,218,72,40,17,7,4,1,0,0,0
48A,48,E-L2 vs E-L2,U1,wing,F,3,15,F,Non-Native,1,741,268,121,71,33,18,7,1,0,0
48B,48,E-L2 vs E-L2,U2,wing,F,3,15,F,Non-Native,1,296,121,50,16,7,3,1,0,0,0
49A,49,E-L2 vs E-L2,U1,eye,A,1,4,M,Non-Native,1,335,80,34,22,13,4,1,0,0,0
49B,49,E-L2 vs E-L2,U2,eye,A,1,4,M,Non-Native,1,502,248,144,42,5,1,0,0,0,0
49A,49,E-L2 vs E-L2,U1,thumb,F,2,4,M,Non-Native,1,419,127,59,26,10,3,1,0,0,0
49B,49,E-L2 vs E-L2,U2,thumb,F,2,4,M,Non-Native,1,513,172,81,35,18,8,3,0,0,0
49A,49,E-L2 vs E-L2,U1,wing,V,3,4,M,Non-Native,1,446,147,88,59,35,25,16,12,7,4
49B,49,E-L2 vs E-L2,U2,wing,V,3,4,M,Non-Native,1,364,115,35,19,10,6,5,5,5,4
50A,50,E-L2 vs E-L2,U1,wing,A,1,12,F,Non-Native,1,653,191,74,35,20,14,7,2,1,0
50B,50,E-L2 vs E-L2,U2,wing,A,1,12,F,Non-Native,1,233,80,36,19,8,2,0,0,0,0
50A,50,E-L2 vs E-L2,U1,eye,F,2,12,F,Non-Native,1,794,293,102,47,23,8,4,2,1,0
50B,50,E-L2 vs E-L2,U2,eye,F,2,12,F,Non-Native,1,268,102,51,19,9,5,1,0,0,0
50A,50,E-L2 vs E-L2,U1,thumb,V,3,12,F,Non-Native,1,1022,425,224,147,102,69,50,30,19,9
50B,50,E-L2 vs E-L2,U2,thumb,V,3,12,F,Non-Native,1,994,337,142,52,25,9,3,1,0,0
51A,51,E-L2 vs E-L2,U1,thumb,A,1,7,F,Non-Native,1,632,192,85,42,20,8,1,0,0,0
51B,51,E-L2 vs E-L2,U2,thumb,A,1,7,F,Non-Native,1,601,177,66,35,16,10,5,1,0,0
51A,51,E-L2 vs E-L2,U1,wing,F,2,7,F,Non-Native,1,640,184,78,31,18,10,3,2,1,0
51B,51,E-L2 vs E-L2,U2,wing,F,2,7,F,Non-Native,1,703,199,67,29,13,9,4,2,0,0
51A,51,E-L2 vs E-L2,U1,eye,V,3,7,F,Non-Native,1,582,149,57,25,15,9,3,2,0,0
51B,51,E-L2 vs E-L2,U2,eye,V,3,7,F,Non-Native,1,693,248,140,80,48,29,18,11,8,6
52A,52,E-L2 vs E-L2,U1,thumb,A,1,6,M,Non-Native,1,480,95,30,4,1,0,0,0,0,0
